date,title,clue,hint,notes,slot_1_name,slot_1_answer,slot_1_decoy,slot_2_name,slot_2_answer,slot_2_decoy,slot_3_name,slot_3_answer,slot_3_decoy,slot_4_name,slot_4_answer,slot_4_decoy,slot_5_name,slot_5_answer,slot_5_decoy
2026-09-08,Delivery Mechanics,Arrange the five fundamental stages of a standard curling slide delivery in chronological sequence.,The sequence starts stationary in the hack and ends after the stone is released with rotational handle.,"A proper slide delivery begins with setup in the hack, a clean forward press, the backswing and leg drive, sliding out on the slider foot, and the smooth release with handle rotation before the near hog line.",Step 1,Hack Setup,Broom Sweep,Step 2,Forward Press,Knee Drop,Step 3,Backswing & Leg Drive,Arm Push,Step 4,Slide & Extension,Tuck Kick,Step 5,Release & Rotation,Stone Drag
2026-09-09,Traditional Team Throwing Order,Arrange the four-player curling team positions in their traditional throwing order from first to last.,The front end throws before the back end; the team captain traditionally throws the final pair.,"In a standard four-person game, the Lead throws stones 1-2, the Second throws 3-4, the Third (Vice-Skip) throws 5-6, and the Skip throws 7-8. The Alternate serves as the fifth player in reserve.",1st Thrower,Lead,Sweeper,2nd Thrower,Second,Alternate,3rd Thrower,Third (Vice-Skip),Skip,4th Thrower,Skip,Coach,In Reserve,Alternate,Umpire
2026-09-10,Concentric Rings of the House,Arrange the concentric circles and boundaries of the curling house from the central pin outward.,The button lies at the absolute dead center and is encircled by three progressively larger colored rings.,"The house consists of the central button (usually one or two feet in diameter), followed by the 4-foot circle, the 8-foot circle, and the outermost 12-foot circle. Any stone clearing beyond the back line is out of play.",Center Pin,Button,Tee Line,Inner Ring,Four-Foot Circle,Six-Foot Ring,Middle Ring,Eight-Foot Circle,Ten-Foot Ring,Outer Ring,Twelve-Foot Circle,Fourteen-Foot Ring,House Limit,Back Line,Hog Line
2026-09-11,Shot Weight Ladder,Arrange these curling delivery weights in order from lowest kinetic energy to highest velocity.,A stone designed to rest in front of the house is thrown softer than one designed to smash out guards.,"Draw and guard weights are finesse shots with low speed. Takeout speeds increase through hack weight, control weight, and board weight up to maximum-velocity peel weight.",Lightest,Guard Weight,Draw Weight,Medium-Light,Draw Weight,Hack Weight,Medium,Hack Weight,Control Takeout,Medium-Heavy,Control Takeout,Normal Takeout,Maximum,Peel Weight,Backline Weight
2026-09-12,Sheet Lines from Delivery to House,Arrange the painted ice markings encountered by a sliding curler traveling from the delivery end to the target end.,The stone is delivered out of the hack and must be released before the near hog line.,"A curler pushes from the delivery Hack, crosses the near Back Line, releases the stone before the near Hog Line, glides past the mid-sheet Centre Line, and targets the far Hog Line and house.",Starting Mark,Delivery Hack,Near Hog Line,First Boundary,Near Back Line,Tee Line,Release Boundary,Near Hog Line,Mid-Sheet Line,Distance Boundary,Far Hog Line,Delivery Hack,Target Center,Far Tee Line,Near Back Line
2026-09-13,Ice Technician Pebble Preparation,Arrange the key steps an ice maker follows when preparing competition ice before game play.,Scraping flattens the sheet before water droplets are sprayed onto the surface and trimmed.,"Proper ice prep requires blading and scraping to flatten the sheet profile, mopping debris, spraying a base water pebble, spraying a fine top pebble, and nipping the pebble tips with a razor blade.",Step 1,Scraping with Ice Blade,Floor Waxing,Step 2,Mopping & Debris Removal,Water Flooding,Step 3,Base Pebble Application,Salt Brining,Step 4,Fine Top Pebble Spray,Chipping Ice,Step 5,Nipping Pebble Tops,Deep Grooving
2026-09-14,Free Guard Zone Evolution,Arrange the historical evolution of the Free Guard Zone rule in competitive curling chronologically.,The rule expanded from three protected stones to four then five before addressing center guards with the no-tick rule.,"The FGZ was introduced in 1993 with 3 stones, increased to 4 stones internationally, raised to 5 stones in 2018, and updated in 2022 to the No-Tick rule to preserve offensive play.",1990s Debut,Three-Stone FGZ,Two-Stone Rule,Late 1990s,Four-Stone FGZ,Corner Guard Rule,2018 Standard,Five-Stone FGZ,Six-Stone Rule,2021 Trials,No-Tick Rule Trial,Laser Sensor Trial,2022 Official,Official No-Tick Rule,Unlimited FGZ
2026-09-15,Olympic Curling Milestones,Arrange these historic Olympic curling events in chronological order.,Chamonix 1924 was the earliest Olympic curling competition; mixed doubles entered at PyeongChang 2018.,"Great Britain won the first men's Olympic gold at Chamonix 1924, Lake Placid 1932 was a demonstration, Nagano 1998 restored curling as a full medal sport, and PyeongChang 2018 added mixed doubles.",1924,Chamonix Inaugural Gold,London Games,1932,Lake Placid Demonstration,Berlin Games,1988,Calgary Demonstration Event,Seoul Games,1998,Nagano Official Olympic Return,Salt Lake Debut,2018,PyeongChang Mixed Doubles Debut,Beijing Gold
2026-09-16,Anatomy of a Curling Stone,Arrange the physical components of a competition curling stone from top to bottom.,The colored plastic handle sits on top; the contact running ring glides along the pebble on bottom.,"At the top sits the handle and colored cap, secured by the central bolt passing through the granite body. Around the stone's widest perimeter is the striking band, and underneath lies the ground concave running edge.",Top,Handle & Screw Plate,Rubber Bumper,Upper Fastener,Center Steel Bolt,Brass Spring,Stone Body,Ailsa Craig Granite Body,Slate Core,Impact Zone,Treblessed Striking Band,Polished Crown,Bottom Contact,Concave Running Edge,Flat Base
2026-09-17,Canadian Men's Brier Eras,Arrange these legendary Canadian skips in chronological order of their first Brier national championship.,Ernie Richardson dominated the 1950s and 60s; Brad Gushue captured his first Brier crown in 2017.,"Ernie Richardson won his first Brier in 1959, Al Hackner in 1980, Russ Howard in 1987, Randy Ferbey (as skip) in 2001, and Brad Gushue in 2017.",1959,Ernie Richardson,Ron Northcott,1980,Al Hackner,Ed Werenich,1987,Russ Howard,Jeff Stoughton,2001,Randy Ferbey,Kevin Martin,2017,Brad Gushue,Brendan Bottcher
